League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Switzerland Super League,2024-01-28,12:30:00,20,Grasshopper,Zürich,4.0,2.25,2.6,3.4,3.4,1.85,1.3,3.2,1.02,11.5,1.22,4.1,1.75,1.95,1.62,2.18,1.81,1.27,1.24,1.56,1.44,1.36,1.6,2.96,2.44,8.0,1.75,1.2,3.9,1.39,2.65,1.7,1.95,2.2,1.55,3.0,1.32
Switzerland Super League,2024-01-28,12:30:00,20,Luzern,Lausanne Sport,2.5,2.3,4.0,1.9,3.5,3.25,1.3,3.25,1.03,11.0,1.2,4.33,1.6,2.2,1.55,2.35,1.28,1.2,1.83,2.11,0.56,1.7,1.51,3.21,1.51,9.0,2.96,1.13,4.85,1.24,3.5,1.46,2.45,1.8,2.0,2.3,1.51
Portugal LigaPro,2024-01-28,12:30:00,19,CD Nacional,Torreense,2.65,2.05,4.0,1.83,3.3,3.65,1.41,2.7,1.07,7.5,1.33,3.2,1.9,1.8,1.8,1.95,1.25,1.3,1.75,2.3,1.2,1.52,1.15,2.67,1.67,9.3,2.51,1.15,4.55,1.3,3.08,1.65,2.25,1.88,1.93,2.48,1.45
Portugal LigaPro,2024-01-28,12:30:00,19,Porto II,CF Os Belenenses,2.1,2.3,5.0,1.5,3.85,5.0,1.3,3.2,1.04,10.0,1.22,4.0,1.7,2.0,1.75,2.0,1.11,1.22,2.45,1.4,0.44,1.31,1.26,2.57,1.28,10.75,4.33,1.18,4.05,1.36,2.79,1.85,1.95,2.08,1.67,2.67,1.39
Greece Super League,2024-01-28,12:30:00,20,Asteras Tripolis,Atromitos,2.88,2.05,4.0,2.2,3.05,3.3,1.5,2.5,1.04,7.7,1.36,2.8,2.15,1.62,1.95,1.8,1.3,1.32,1.74,1.45,0.8,1.21,1.14,2.35,1.64,7.5,2.78,1.61,2.1,2.1,1.6,2.95,1.33,3.98,1.19,5.4,1.13
Portugal Liga NOS,2024-01-28,12:30:00,19,Boavista FC,Portimonense,0.0,0.0,0.0,1.85,3.45,3.85,0.0,0.0,0.0,0.0,0.0,0.0,1.85,1.85,0.0,0.0,0.0,0.0,0.0,1.11,0.78,0.98,1.01,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal Liga NOS,2024-01-28,12:30:00,19,Moreirense FC,Famalicão,0.0,0.0,0.0,2.15,3.15,3.25,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.65,0.0,0.0,0.0,0.0,0.0,1.38,1.11,1.17,1.15,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eredivisie,2024-01-28,12:45:00,19,Volendam,Fortuna Sittard,3.6,2.25,2.75,3.05,3.5,2.1,1.36,3.0,1.04,9.5,1.22,4.0,1.7,2.0,1.67,2.1,1.73,1.29,1.34,0.78,0.6,1.42,1.24,2.66,2.18,8.0,1.88,1.2,4.35,1.3,3.0,1.54,2.25,1.9,1.79,2.38,1.48
Turkey Süper Lig,2024-01-28,13:00:00,23,Fenerbahçe,Ankaragücü,1.61,3.04,10.27,1.16,6.75,13.0,1.25,3.6,1.01,19.0,1.13,5.0,1.45,2.55,2.18,1.68,1.05,1.12,4.57,2.36,1.1,1.79,1.17,2.96,1.09,14.2,9.8,1.5,2.53,1.71,2.12,2.21,1.66,2.6,1.49,4.85,1.13
France Ligue 1,2024-01-28,13:05:00,19,Toulouse,Lens,4.0,2.2,2.75,3.5,3.5,2.0,1.4,2.75,1.02,9.0,1.28,3.3,1.88,1.88,1.8,1.95,1.71,1.3,1.3,1.0,1.0,1.48,1.35,2.83,2.75,7.5,1.61,1.38,2.65,1.68,2.0,2.14,1.6,2.8,1.34,3.85,1.19
