IDMercado_MO,IDMercado_OU,IDMercado_BTTS,IDMercado_CS,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
1.216767924,1.216767969,1.216768008,1.216767933,Brazilian U20,2023-08-05,10:30:00,Esporte Clube Futgol U20,Coimbra EC U20,3.35,3.75,1.66,1.15,1.02,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215818697,1.215818742,1.215818781,1.215818706,English National League,2023-08-05,11:00:00,Kidderminster,Woking,3.7,3.5,2.14,2.08,1.83,1.84,2.0,13.0,9.6,13.5,28.0,14.0,8.2,12.0,26.0,26.0,17.0,20.0,44.0,70.0,50.0,65.0,130.0,55.0,19.5
1.215818226,1.215818271,1.215818310,1.215818235,English National League,2023-08-05,11:00:00,Maidenhead,AFC Fylde,2.58,3.5,2.76,1.9,1.91,1.74,2.1,15.0,13.0,19.5,42.0,12.5,8.4,13.5,34.0,18.5,13.0,18.0,46.0,38.0,32.0,44.0,95.0,25.0,27.0
1.215444087,1.215444097,1.215444086,1.215444096,English Championship,2023-08-05,11:00:00,Blackburn,West Brom,2.98,3.35,2.68,2.24,1.79,1.89,1.99,11.0,9.8,16.5,40.0,11.0,7.4,12.5,32.0,18.5,12.5,19.0,55.0,46.0,36.0,55.0,120.0,36.0,32.0
1.215441979,1.215441989,1.215441978,1.215441988,English Championship,2023-08-05,11:00:00,Swansea,Birmingham,1.88,3.9,4.6,2.02,1.97,1.89,2.06,14.0,16.5,34.0,100.0,8.6,8.4,18.0,60.0,11.0,10.0,19.5,65.0,20.0,19.5,36.0,110.0,13.0,60.0
1.215441316,1.215441328,1.215441314,1.215441327,English Championship,2023-08-05,11:00:00,Stoke,Rotherham,1.68,4.0,6.2,2.08,1.89,2.08,1.87,12.5,18.5,46.0,170.0,7.6,8.6,24.0,90.0,9.0,9.8,24.0,100.0,15.5,19.0,42.0,150.0,11.0,130.0
1.215440113,1.215440158,1.215440197,1.215440122,English League 1,2023-08-05,11:00:00,Charlton,Leyton Orient,2.22,3.55,3.65,2.04,1.86,1.84,2.08,13.0,13.5,25.0,70.0,10.5,7.8,15.5,50.0,14.0,11.5,19.0,60.0,28.0,24.0,46.0,110.0,19.0,48.0
1.215440023,1.215440068,1.215440107,1.215440032,English League 1,2023-08-05,11:00:00,Derby,Wigan,1.7,4.0,5.9,2.02,1.95,1.87,1.91,15.5,21.0,46.0,770.0,8.8,9.0,25.0,90.0,11.0,11.0,23.0,95.0,18.5,21.0,44.0,160.0,12.5,120.0
1.215440204,1.215440249,1.215440288,1.215440213,English League 1,2023-08-05,11:00:00,Cambridge Utd,Oxford Utd,3.4,3.45,2.32,2.02,1.8,1.78,1.83,12.0,9.4,14.5,32.0,12.5,7.6,12.0,34.0,27.0,17.5,19.5,55.0,75.0,55.0,75.0,150.0,60.0,25.0
1.215440294,1.215440339,1.215440378,1.215440303,English League 1,2023-08-05,11:00:00,Reading,Peterborough,3.25,3.65,2.38,1.96,2.0,1.71,2.12,14.0,12.0,15.0,30.0,13.5,8.2,11.5,25.0,23.0,14.5,18.0,38.0,60.0,38.0,50.0,95.0,36.0,18.5
1.215818605,1.215818650,1.215818689,1.215818614,English National League,2023-08-05,11:00:00,FC Halifax Town,Bromley,2.5,3.25,2.96,2.1,1.86,1.77,1.95,13.0,12.5,22.0,55.0,11.5,8.4,15.0,40.0,18.0,13.5,21.0,60.0,42.0,34.0,55.0,130.0,28.0,38.0
1.216315501,1.216315546,1.216315585,1.216315510,English National League,2023-08-05,11:00:00,Southend,Oldham,3.15,3.35,2.46,2.14,1.81,1.8,1.98,14.0,10.0,15.5,36.0,12.5,7.8,12.0,29.0,22.0,14.5,19.0,46.0,65.0,42.0,60.0,120.0,44.0,25.0
1.215438763,1.215438808,1.215438847,1.215438772,English League 1,2023-08-05,11:00:00,Wycombe,Exeter,1.99,3.7,4.2,1.91,2.0,1.77,2.06,15.5,17.0,34.0,90.0,10.0,9.0,18.0,55.0,12.5,11.0,19.0,65.0,23.0,22.0,38.0,110.0,13.5,55.0
