IDMercado,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
1.215464896,Brazilian Serie D,2023-06-24,19:00:00,Maringa,CA Patrocinense,2.04,2.96,3.65,2.42,1.61,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215465954,Brazilian Serie D,2023-06-24,19:00:00,Uniao EC Rondonopolis,Anapolis GO,2.5,3.0,3.0,2.44,1.6,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215391551,Venezuelan Primera Division,2023-06-24,19:15:00,Caracas,Monagas,2.26,3.25,3.25,1.36,1.29,1.85,1.94,13.0,14.0,1.01,1.01,10.5,8.4,1.01,1.01,1.01,13.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215412491,US United Soccer League,2023-06-24,20:00:00,Hartford Athletic FC,Indy Eleven,1.42,1.01,1.05,1.88,1.99,1.65,2.18,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215381355,Argentinian Primera Division,2023-06-24,20:00:00,Lanus,Talleres,2.84,3.05,2.8,2.48,1.53,1.01,1.79,13.5,9.6,19.5,1.01,9.0,7.4,15.5,48.0,20.0,15.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215418947,Argentinian Primera B Nacional,2023-06-24,20:10:00,Quilmes,Ferro Carril Oeste,2.18,1.03,1.04,2.28,1.53,2.02,1.74,9.8,11.0,1.01,1.01,9.2,8.2,18.0,1.01,17.0,14.5,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215339691,US Major League Soccer,2023-06-24,20:30:00,DC Utd,FC Cincinnati,2.24,3.8,3.35,1.81,2.08,1.66,2.26,16.0,15.5,25.0,60.0,12.0,8.6,15.0,38.0,15.0,11.0,16.5,46.0,29.0,23.0,34.0,85.0,16.0,34.0
1.215339583,US Major League Soccer,2023-06-24,20:30:00,New England,Toronto FC,1.71,4.3,5.2,1.68,2.32,1.71,2.24,20.0,24.0,44.0,150.0,12.0,10.0,20.0,60.0,12.0,10.0,18.5,60.0,17.5,16.0,28.0,85.0,8.4,55.0
1.215340123,US Major League Soccer,2023-06-24,20:30:00,Philadelphia,Inter Miami CF,1.48,5.1,7.4,1.64,2.4,1.81,2.06,22.0,32.0,70.0,230.0,10.5,44.0,28.0,100.0,24.0,9.8,22.0,90.0,13.5,14.0,30.0,110.0,6.2,100.0
1.215340015,US Major League Soccer,2023-06-24,20:30:00,Charlotte FC,CF Montreal,1.97,3.9,4.0,1.86,2.04,1.76,2.12,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,19.5,1.01,1.01,1.01,1.01,1.01,1.01,1.01
