Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
bkupTmkt,21/09/2023,16:00,EUROPE - EUROPA CONFERENCE LEAGUE,D. Zagreb,FC Astana,GROUP STAGE ,1.29,5.5,10.0,1.3,3.4,1.03,15.0,1.2,4.33,1.65,2.2,2.63,1.44,4.5,1.18,2.1,1.67,1.28,3.55,,,13.0,23.0,51.0,126.0,7.5,10.0,29.0,67.0,6.0,9.5,23.0,51.0,8.0,11.0,29.0,67.0,351.0
xAugCUYq,21/09/2023,16:00,EUROPE - EUROPA LEAGUE,Atalanta,Rakow,GROUP STAGE ,1.25,6.0,10.0,1.29,3.5,1.03,17.0,1.2,4.5,1.57,2.38,2.5,1.53,4.33,1.22,2.1,1.67,1.25,3.8,,,15.0,21.0,51.0,126.0,7.5,12.0,26.0,67.0,6.0,9.0,26.0,51.0,7.5,11.0,29.0,81.0,501.0
Isl6W9Bg,21/09/2023,16:00,MOROCCO - BOTOLA PRO,Wydad,Jeunesse Sportive Soualem,ROUND 3,1.5,3.4,7.0,1.4,2.75,1.07,9.0,1.29,3.5,1.95,1.85,3.25,1.33,6.5,1.11,2.0,1.73,1.48,2.6,,,9.0,19.0,41.0,81.0,6.5,7.0,23.0,51.0,6.5,9.0,19.0,51.0,9.5,13.0,29.0,67.0,101.0
rHiyHsdo,21/09/2023,16:00,EUROPE - EUROPA CONFERENCE LEAGUE,Club Brugge KV,Besiktas,GROUP STAGE ,1.85,3.6,3.8,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,2.75,1.4,5.5,1.14,1.67,2.1,1.85,2.0,1.25,3.8,13.0,13.0,21.0,41.0,8.5,7.0,13.0,29.0,10.0,8.5,13.0,34.0,17.0,15.0,23.0,41.0,151.0
vo8JCS4a,21/09/2023,16:00,EUROPE - EUROPA CONFERENCE LEAGUE,FK Zorya Luhansk,Gent,GROUP STAGE ,8.0,4.33,1.4,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,2.63,1.44,5.0,1.17,1.91,1.8,7.0,1.1,2.85,1.4,12.0,7.5,7.0,9.5,19.0,8.5,8.5,12.0,41.0,21.0,19.0,26.0,81.0,51.0,51.0,51.0,301.0
lUOij5Yo,21/09/2023,16:00,EUROPE - EUROPA LEAGUE,Brighton,AEK Athens FC,GROUP STAGE ,1.2,7.0,13.0,1.25,3.75,1.02,19.0,1.14,5.5,1.5,2.63,2.2,1.67,3.75,1.29,2.1,1.67,1.36,3.25,,,17.0,29.0,51.0,151.0,8.5,13.0,34.0,81.0,6.5,10.0,29.0,67.0,7.0,11.0,29.0,81.0,451.0
htOKqLHT,21/09/2023,16:00,EUROPE - EUROPA LEAGUE,Sparta Prague,Aris,GROUP STAGE ,1.5,4.33,6.25,1.3,3.4,1.04,13.0,1.2,4.5,1.67,2.2,2.63,1.5,4.5,1.2,1.8,1.95,1.48,2.6,1.13,5.9,13.0,17.0,34.0,67.0,8.0,8.0,19.0,41.0,7.5,8.5,17.0,41.0,11.0,12.0,23.0,51.0,201.0
AHYFp12N,21/09/2023,16:00,EUROPE - EUROPA LEAGUE,Rangers,Betis,GROUP STAGE ,2.45,3.4,2.8,1.4,2.75,1.05,11.0,1.29,3.75,1.95,1.95,3.4,1.33,6.0,1.13,1.7,2.05,2.38,1.55,1.45,2.68,11.0,9.5,15.0,29.0,9.0,6.5,10.0,21.0,12.0,9.5,13.0,29.0,23.0,19.0,26.0,41.0,201.0
CbpdeRZO,21/09/2023,16:00,EUROPE - EUROPA CONFERENCE LEAGUE,Maccabi Tel Aviv,Breidablik,GROUP STAGE ,1.17,6.5,15.0,1.22,4.0,1.02,21.0,1.11,6.5,1.4,2.88,2.0,1.73,3.25,1.33,2.0,1.73,1.18,4.65,,,19.0,34.0,67.0,201.0,10.0,13.0,41.0,81.0,7.0,10.0,23.0,67.0,7.5,11.0,26.0,67.0,301.0
UNE0V9uM,21/09/2023,16:00,EUROPE - EUROPA LEAGUE,Sturm Graz,Sporting CP,GROUP STAGE ,3.8,3.6,1.95,1.36,3.0,1.05,11.0,1.29,3.75,1.9,2.0,3.2,1.36,6.0,1.13,1.7,2.05,3.7,1.26,1.92,1.98,11.0,8.0,9.5,17.0,12.0,6.5,8.5,15.0,21.0,13.0,13.0,23.0,41.0,29.0,34.0,41.0,201.0
